relative_path,filename,has_nonzero_copy_elsewhere,looks_project_related
ondemandscanning_v1beta1_messages.py,ondemandscanning_v1beta1_messages.py,False,False
PngImagePlugin.py,PngImagePlugin.py,False,False
test_quiver.py,test_quiver.py,False,False
anysat_ft_avg_fusion_480m.py,anysat_ft_avg_fusion_480m.py,True,False
evaluate_classification.py,evaluate_classification.py,True,True
cffi_opcode.py,cffi_opcode.py,False,False
mediaasset_v1alpha_messages.py,mediaasset_v1alpha_messages.py,False,False
kernel_mixins.py,kernel_mixins.py,False,False
entry_links.py,entry_links.py,False,False
perl.py,perl.py,False,False
backend_managers.py,backend_managers.py,False,False
backend_svg.py,backend_svg.py,False,False
make_final_events_for_gee.py,make_final_events_for_gee.py,True,False
inv_regex.py,inv_regex.py,False,False
build_mars_priority_sites.py,build_mars_priority_sites.py,False,True
util.py,util.py,False,False
build_final_aviris3_methanefuse20.py,build_final_aviris3_methanefuse20.py,True,True
test_ix.py,test_ix.py,False,False
infer_overlap_or_single_models_native.py,infer_overlap_or_single_models_native.py,True,False
c_like.py,c_like.py,False,False
runtimeconfig_v1beta1_messages.py,runtimeconfig_v1beta1_messages.py,False,False
polar.py,polar.py,False,False
representer.py,representer.py,False,False
gkehub_v1alpha2_messages.py,gkehub_v1alpha2_messages.py,False,False
regions.py,regions.py,False,False
converter.py,converter.py,False,False
core.py,core.py,False,False
gen_config.py,gen_config.py,False,False
policysimulator_v1beta_messages.py,policysimulator_v1beta_messages.py,False,False
vectorsearch_v1beta_messages.py,vectorsearch_v1beta_messages.py,False,False
test_unit.py,test_unit.py,False,False
test_idl.py,test_idl.py,False,False
CMakeConfigureLog.yaml,CMakeConfigureLog.yaml,False,False
ipython_directive.py,ipython_directive.py,False,False
load_methaneunion_sample.py,load_methaneunion_sample.py,True,True
connection_util.py,connection_util.py,False,False
_helpers.py,_helpers.py,False,False
managedidentities_v1_messages.py,managedidentities_v1_messages.py,False,False
dialogflow_v2_messages.py,dialogflow_v2_messages.py,False,False
monitoring_v3_messages.py,monitoring_v3_messages.py,False,False
freeze.py,freeze.py,False,False
rrset.py,rrset.py,False,False
test_axes.py,test_axes.py,False,False
v1_event.py,v1_event.py,False,False
